0. 	-4416.59173491 	3.2184 	3.4274 	
10. 	-4416.59072698 	3.2318 	3.4300 	
20. 	-4416.58839978 	3.2545 	3.4591 	
30. 	-4416.58277003 	3.2684 	3.5280 	
40. 	-4416.57132525 	3.2655 	3.6296 	
50. 	-4416.55292039 	3.2361 	3.7348 	
60. 	-4416.53094572 	3.1846 	3.7894 	
70. 	-4416.51437661 	3.1614 	3.8712 	
80. 	-4416.51118530 	3.1959 	4.0052 	
90. 	-4416.52017940 	3.2519 	4.0483 	
100. 	-4416.53552683 	3.2907 	4.0259 	
110. 	-4416.55288405 	3.3012 	3.9410 	
120. 	-4416.56820398 	3.2922 	3.8248 	
130. 	-4416.57889845 	3.2766 	3.7109 	
140. 	-4416.58559030 	3.2598 	3.6119 	
150. 	-4416.59015133 	3.2403 	3.5369 	
160. 	-4416.59424362 	3.2185 	3.4903 	
170. 	-4416.59767754 	3.1991 	3.4694 	
180. 	-4416.59228870 	3.1646 	3.4592 	
190. 	-4416.53939414 	2.9341 	3.4142 	
200. 	-4416.32689408 	2.0918 	2.7030 	
290. 	-4416.43584835 	2.9764 	3.2433 	
300. 	-4416.52231237 	3.1928 	3.5869 	
310. 	-4416.56139555 	3.2635 	3.6829 	
320. 	-4416.57992058 	3.2794 	3.5951 	
330. 	-4416.58824918 	3.2687 	3.5180 	
340. 	-4416.59141782 	3.2456 	3.4677 	
350. 	-4416.59210799 	3.2240 	3.4395 	
